iter	Passed	Remaining
0	0	45
1	0	43
2	1	44
3	1	40
4	2	39
5	2	40
6	3	40
7	3	39
8	3	38
9	4	37
10	4	36
11	4	36
12	5	35
13	5	35
14	6	36
15	6	35
16	7	34
17	7	34
18	7	33
19	8	33
20	8	33
21	9	32
22	9	31
23	9	31
24	10	30
25	10	30
26	11	29
27	11	29
28	11	28
29	12	28
30	12	27
31	12	27
32	13	26
33	13	26
34	13	25
35	14	25
36	14	25
37	15	24
38	15	24
39	15	23
40	16	23
41	16	22
42	16	22
43	17	21
44	17	21
45	17	20
46	18	20
47	18	20
48	18	19
49	19	19
50	19	19
51	20	18
52	20	18
53	21	17
54	21	17
55	21	16
56	21	16
57	22	16
58	22	15
59	23	15
60	23	15
61	23	14
62	24	14
63	24	13
64	24	13
65	25	13
66	25	12
67	26	12
68	26	11
69	26	11
70	27	11
71	27	10
72	27	10
73	28	9
74	28	9
75	29	9
76	29	8
77	29	8
78	30	8
79	30	7
80	30	7
81	31	6
82	31	6
83	32	6
84	32	5
85	32	5
86	33	4
87	33	4
88	34	4
89	34	3
90	35	3
91	35	3
92	35	2
93	36	2
94	36	1
95	36	1
96	37	1
97	37	0
98	38	0
99	38	0
